ICD-10 code,Description
E10 ,Insulin-dependent diabetes mellitus  
E10.0 ,Insulin-dependent diabetes mellitus with coma  
E10.1 ,Insulin-dependent diabetes mellitus with ketoacidosis  
E10.2 ,Insulin-dependent diabetes mellitus with renal complications  
E10.3 ,Insulin-dependent diabetes mellitus with ophthalmic complications  
E10.4 ,Insulin-dependent diabetes mellitus with neurological complications  
E10.5,Insulin-dependent diabetes mellitus with peripheral circulatory complications  
E10.6 ,Insulin-dependent diabetes mellitus with other specified complications 
E10.7 ,Insulin-dependent diabetes mellitus with multiple complications 
E10.8 ,Insulin-dependent diabetes mellitus with unspecified complications  
E10.9 ,Insulin-dependent diabetes mellitus without complications  
