prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
43,80571020,Phenoxymethylpenicillin 250mg tablets,Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
100,68218020,Penicillin V 250mg capsule,Phenoxymethylpenicillin Potassium,250mg,Capsules,Oral
102,59438020,Penicillin V 250mg tablet,Phenoxymethylpenicillin Potassium,250mg,Tablets,Oral
127,68527020,Penicillin V 125mg/5ml oral solution,Phenoxymethylpenicillin Potassium,125mg/5ml,Elixir,Oral
224,68219020,Penicillin V 62.5mg/5ml syrup,Phenoxymethylpenicillin Potassium,62.5mg/5ml,Syrup,Oral
391,65520020,Penicillin G 600mg/vial injection,Benzylpenicillin Sodium,600mg/vial,Injection,
408,68528020,Penicillin V 250mg/5ml oral solution,Phenoxymethylpenicillin Potassium,250mg/5ml,Elixir,Oral
481,68220020,Penicillin V 250mg/5ml syrup,Phenoxymethylpenicillin Potassium,250mg/5ml,Syrup,Oral
1783,59437020,Penicillin V 125mg tablet,Phenoxymethylpenicillin Potassium,125mg,Tablets,Oral
2232,57541020,Crystapen 600mg/vial Powder for solution for injection (Britannia Pharmaceuticals Ltd),Benzylpenicillin sodium,600mg,Powder for solution for injection,Intramuscular/Intravenous
2545,70677020,Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin sodium,600mg,Powder for solution for injection,Intramuscular/Intravenous
4835,80576020,Phenoxymethylpenicillin 125mg/5ml oral solution,Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
4925,80577020,Phenoxymethylpenicillin 250mg/5ml oral solution,Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
7942,52043020,Triplopen Injection (Glaxo Laboratories Ltd),Benethamine Penicillin/procaine Benzylpenicillin/benzylpenicillin Sodium,,Injection,
10079,89016020,Penicillin V 250mg/5ml oral solution sugar free,Phenoxymethylpenicillin Potassium,250mg/5ml,Oral Solution Sugar-free,Oral
10095,89012020,Penicillin V 125mg/5ml oral solution sugar free,Phenoxymethylpenicillin Potassium,125mg/5ml,Oral Solution Sugar-free,Oral
10355,52176020,V-cil-k 250mg/5ml Oral solution (Eli Lilly and Company Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
10584,52175020,V-cil-k 125mg/5ml Oral solution (Eli Lilly and Company Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
10647,52171020,V-cil-k 250mg Tablet (Eli Lilly and Company Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
12365,52170020,V-cil-k 125mg Tablet (Eli Lilly and Company Ltd),Phenoxymethylpenicillin Potassium,125mg,Tablet,Oral
12505,70676020,Benzylpenicillin 300mg/vial injection,Benzylpenicillin Sodium,300mg/vial,Injection,
13400,52169020,V-cil-k 250mg Capsule (Eli Lilly and Company Ltd),Phenoxymethylpenicillin Potassium,250mg,Capsule,Oral
