Readcode,Description
H06..00,Acute bronchitis and bronchiolitis
H061.00,Acute bronchiolitis
H061000,Acute capillary bronchiolitis
H061100,Acute obliterating bronchiolitis
H061200,Acute bronchiolitis with bronchospasm
H061300,Acute exudative bronchiolitis
H061400,Obliterating fibrous bronchiolitis
H061500,Acute bronchiolitis due to respiratory syncytial virus
H061600,Acute bronchiolitis due to other specified organisms
H061700,Acute bronchiolitis due to human metapneumovirus
H061z00,Acute bronchiolitis NOS
H06z.00,Acute bronchitis or bronchiolitis NOS
H312300,Bronchiolitis obliterans
H564.00,Bronchiolitis obliterans organising pneumonia
Hyu1100,[X]Acute bronchiolitis due to other specified organisms
