Readcodes,Description
38Gw.00,Gross Motor Function Classification System Cerebral Palsy
F137.11,Athetoid cerebral palsy
F137000,Athetoid cerebral palsy
F137.13,Vogt's disease
F137011,Vogt's disease
F23..00,Congenital cerebral palsy
F23..11,Congenital spastic cerebral palsy
F23..12,Infantile cerebral palsy
F23..13,Littles disease
F23..14,Cerebral atonia
F230.00,Congenital diplegia
F230.11,Paraplegia - congenital
F230000,Congenital paraplegia
F230100,Cerebral palsy with spastic diplegia
F230111,Spastic diplegic cerebral palsy
F230z00,Congenital diplegia NOS
F231.00,Congenital hemiplegia
F232.00,Congenital quadriplegia
F232.11,Tetraplegia - congenital
F233.00,Congenital monoplegia
F233.11,Congenital spastic foot
F234.00,Infantile hemiplegia NOS
F23y.00,Other congenital cerebral palsy
F23y000,Ataxic infantile cerebral palsy
F23y100,Flaccid infantile cerebral palsy
F23y200,Spastic cerebral palsy
F23y300,Dyskinetic cerebral palsy
F23y400,Ataxic diplegic cerebral palsy
F23y500,Worster-Drought syndrome
F23y511,Congenital suprabulbar paresis
F23y600,Choreoathetoid cerebral palsy
F23y611,Choreo-athetotic cerebral palsy
F23yz00,Other infantile cerebral palsy NOS
F23z.00,Congenital cerebral palsy NOS
F2B..00,Cerebral palsy
F2B0.00,Spastic quadriplegic cerebral palsy
F2B1.00,Spastic hemiplegic cerebral palsy
F2B2.00,Bilateral spastic cerebral palsy
F2By.00,Other cerebral palsy
F2Bz.00,Cerebral palsy NOS
Fyu9.00,[X]Cerebral palsy and other paralytic syndromes
Fyu9000,[X]Other infantile cerebral palsy
G669.00,"Cerebral palsy, not congenital or infantile, acute"
