prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route,bnfcode,bnfchapter
38,69246020,Beclometasone 100micrograms/dose inhaler,Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
99,57212020,Becotide 100 inhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
883,68210020,Becodisks 200microgram Disc (Allen & Hanburys Ltd),Beclometasone Dipropionate,200microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
895,79401020,Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
896,84968020,Becotide easi-breathe 100microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1100,56476020,Beclazone 100 inhaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1236,48309020,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1242,69244020,Beclometasone 250micrograms/dose inhaler,Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1243,79402020,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1258,67266020,Becotide 200 inhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1259,69255020,Beclometasone 200micrograms/dose inhaler,Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1269,53718020,Becotide 50microgram/ml Nebuliser liquid (Allen & Hanburys Ltd),Beclometasone Dipropionate,50microgram/ml,Nebuliser Liquid,Nebulised,3020000,Corticosteroids (for Respiratory Conditions)
1406,48324020,Becotide 50 inhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1537,53711020,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1551,56477020,Beclazone 250 inhaler (Teva UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1552,84970020,Becloforte easi-breathe 250microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1725,79400020,Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1727,84967020,Becotide easi-breathe 50microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1734,74422020,Beclometasone 100micrograms/dose breath actuated inhaler,Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1861,54707020,AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1885,81155020,Beclazone 200 inhaler (Teva UK Ltd),Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1951,68211020,Becodisks 400microgram Disc (Allen & Hanburys Ltd),Beclometasone Dipropionate,400microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2148,69624020,Beclometasone 400microgram disc,Beclometasone Dipropionate,400micrograms,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
