medcode,description
D313.12,Idiopathic thrombocytopenic purpura
D313.00,Primary thrombocytopenia
D313.11,Evan's syndrome
D313.12,Idiopathic thrombocytopenic purpura
D313.13,Idiopathic purpura
D313.15,Thrombocytopenic purpura
D313000,Idiopathic thrombocytopenic purpura
D313012,ITP - idiopathic thrombocytopenic purpura
D313z00,Primary thrombocytopenia NOS
D313z11,Essential thrombocytopenia NOS
D314.00,Secondary thrombocytopenia
42P2.11,Auto-immune thrombocytopenia
D313011,Idiopathic purpura
