medcode,description
N003.00,Dermatomyositis
N003000,Juvenile dermatomyositis
N003X00,"Dermatopolymyositis, unspecified"
N004.00,Polymyositis
N241.00,Myalgia and myositis unspecified
N241100,Myositis unspecified
N241z00,Myalgia or myositis NOS
43aA.00,Pm-1 - Polymyositis-scleroderma antibody level
F4G1200,Orbital myositis
H57y100,Lung disease with polymyositis
N003.11,Poikilodermatomyositis
Nyu4400,[X]Other dermatomyositis
Nyu4E00,"[X]Dermatopolymyositis, unspecified"
Nyu8000,[X]Other myositis
N231400,Polymyositis ossificans
N23y000,Interstitial myositis
M241200,Fibromyositis NOS
