medcode,Description,
N043.00,Juvenile rheumatoid arthritis - Still's disease,
N043000,Juvenile rheumatoid arthropathy unspecified,
N043100,Acute polyarticular juvenile rheumatoid arthritis,
N043200,Pauciarticular juvenile rheumatoid arthritis,
N043300,Monarticular juvenile rheumatoid arthritis,
N043z00,Juvenile rheumatoid arthritis NOS,
N045500,Juvenile rheumatoid arthritis,
N045600,Pauciarticular onset juvenile chronic arthritis,
N040.00,Rheumatoid arthritis,
M160.11,Psoriatic arthritis,
N045.00,Other juvenile arthritis,
N045000,Juvenile ankylosing spondylitis,
N045100,Juvenile seronegative polyarthritis,
N045200,Juvenile arthritis in psoriasis,
N045300,Juvenile arthritis in Crohn's disease,
N045400,Juvenile arthritis in ulcerative colitis,
Nyu1500,[X]Other juvenile arthritis,
Nyu1600,[X]Juvenile arthritis in other diseases CE,
