drugcode,bnfcode1,bnfcode2,bnfcode3,genericname,formulation,strength,units,status,hospitalonly,nhsflag,atc
76304978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
85397978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg granules sachets sugar free,granules,4,mg/sachet,L,1,0,R03D C03
85398978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg granules sachets sugar free,granules,4,mg/sachet,L,1,0,R03D C03
85503978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 5mg chewable tablets sugar free,chewable tablets,5,mg,L,1,0,R03D C03
85504978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 5mg chewable tablets sugar free,chewable tablets,5,mg,L,1,0,R03D C03
85507978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
85508978,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
87597998,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg granules sachets sugar free,granules,4,mg/sachet,L,1,0,R03D C03
87601998,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg granules sachets sugar free,granules,4,mg/sachet,L,1,0,R03D C03
88095998,03.03.02.00,00.00.00.00,00.00.00.00,Zafirlukast 20mg tablets,tablets,20,mg,L,1,0,R03D C01
88102998,03.03.02.00,00.00.00.00,00.00.00.00,Zafirlukast 20mg tablets,tablets,20,mg,L,1,0,R03D C01
88342998,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
88351996,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg chewable tablets sugar free,chewable tablets,4,mg,L,1,0,R03D C03
88351997,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
88351998,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 5mg chewable tablets sugar free,chewable tablets,5,mg,L,1,0,R03D C03
88352997,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg chewable tablets sugar free,chewable tablets,4,mg,L,1,0,R03D C03
88352998,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 5mg chewable tablets sugar free,chewable tablets,5,mg,L,1,0,R03D C03
89138979,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 4mg granules sachets sugar free,granules,4,mg/sachet,L,1,0,R03D C03
96931979,03.03.02.00,00.00.00.00,00.00.00.00,Zafirlukast 20mg tablets,tablets,20,mg,L,1,0,R03D C01
96937979,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 5mg chewable tablets sugar free,chewable tablets,5,mg,L,1,0,R03D C03
96943979,03.03.02.00,00.00.00.00,00.00.00.00,Montelukast 10mg tablets,tablets,10,mg,L,1,0,R03D C03
