medcode,description,,,,,,
4JU9.00,Respiratory syncytial virus A detected,,,,,,
4JUA.00,Respiratory syncytial virus B detected,,,,,,
4JUB.00,Respiratory syncytial virus untyped strain detected,,,,,,
4JUK.00,Mycoplasma pneumoniae detected,,,,,,
A022200,Salmonella pneumonia,,,,,,
A521.00,Varicella pneumonitis,,,,,,
A54x400,Herpes simplex pneumonia,,,,,,
A551.00,Postmeasles pneumonia,,,,,,
A730.00,Ornithosis with pneumonia,,,,,,
A785000,Cytomegaloviral pneumonitis,,,,,,
A79A.00,Respiratory syncytial virus infection,,,,,,
A7y0200,Resp syncytial virus as cause of dis class to other chapters,,,,,,
AyuKN00,[X]Resp syncytial virus/cause/diseases classfd/oth chapters,,,,,,
H06..00,Acute bronchitis and bronchiolitis,,,,,,
H060.00,Acute bronchitis,,,,,,
H060000,Acute fibrinous bronchitis,,,,,,
H060100,Acute membranous bronchitis,,,,,,
H060200,Acute pseudomembranous bronchitis,,,,,,
H060300,Acute purulent bronchitis,,,,,,
H060400,Acute croupous bronchitis,,,,,,
H060500,Acute tracheobronchitis,,,,,,
H060600,Acute pneumococcal bronchitis,,,,,,
H060700,Acute streptococcal bronchitis,,,,,,
H060800,Acute haemophilus influenzae bronchitis,,,,,,
H060900,Acute neisseria catarrhalis bronchitis,,,,,,
H060A00,Acute bronchitis due to mycoplasma pneumoniae,,,,,,
H060B00,Acute bronchitis due to coxsackievirus,,,,,,
H060C00,Acute bronchitis due to parainfluenza virus,,,,,,
H060D00,Acute bronchitis due to respiratory syncytial virus,,,,,,
H060E00,Acute bronchitis due to rhinovirus,,,,,,
H060F00,Acute bronchitis due to echovirus,,,,,,
H060v00,Subacute bronchitis unspecified,,,,,,
H060w00,Acute viral bronchitis unspecified,,,,,,
H060x00,Acute bacterial bronchitis unspecified,,,,,,
H060z00,Acute bronchitis NOS,,,,,,
H062.00,Acute lower respiratory tract infection,,,,,,
H06z.00,Acute bronchitis or bronchiolitis NOS,,,,,,
H06z000,Chest infection NOS,,,,,,
H06z011,Chest infection,,,,,,
H06z100,Lower resp tract infection,,,,,,
H06z112,Acute lower respiratory tract infection,,,,,,
H06z200,Recurrent chest infection,,,,,,
H07..00,Chest cold,,,,,,
H2...00,Pneumonia and influenza,,,,,,
H20..00,Viral pneumonia,,,,,,
H20..11,Chest infection - viral pneumonia,,,,,,
H200.00,Pneumonia due to adenovirus,,,,,,
H201.00,Pneumonia due to respiratory syncytial virus,,,,,,
H202.00,Pneumonia due to parainfluenza virus,,,,,,
H203.00,Pneumonia due to human metapneumovirus,,,,,,
H20y.00,Viral pneumonia NEC,,,,,,
H20y000,Severe acute respiratory syndrome,,,,,,
H20z.00,Viral pneumonia NOS,,,,,,
H21..00,Lobar (pneumococcal) pneumonia,,,,,,
H21..11,Chest infection - pneumococcal pneumonia,,,,,,
H22..00,Other bacterial pneumonia,,,,,,
H22..11,Chest infection - other bacterial pneumonia,,,,,,
H220.00,Pneumonia due to klebsiella pneumoniae,,,,,,
H221.00,Pneumonia due to pseudomonas,,,,,,
H222.00,Pneumonia due to haemophilus influenzae,,,,,,
H222.11,Pneumonia due to haemophilus influenzae,,,,,,
H223.00,Pneumonia due to streptococcus,,,,,,
H223000,"Pneumonia due to streptococcus, group B",,,,,,
H224.00,Pneumonia due to staphylococcus,,,,,,
H22y.00,Pneumonia due to other specified bacteria,,,,,,
H22y000,Pneumonia due to escherichia coli,,,,,,
H22y011,E.coli pneumonia,,,,,,
H22y100,Pneumonia due to proteus,,,,,,
H22y200,Pneumonia - Legionella,,,,,,
H22y300,Pneumonia due to Gram neg bact,,,,,,
H22yX00,Pneumonia due to other aerobic gram-negative bacteria,,,,,,
H22yz00,Pneumonia due to bacteria NOS,,,,,,
H22z.00,Bacterial pneumonia NOS,,,,,,
H23..00,Pneumonia due to other specified organisms,,,,,,
H23..11,Chest infection - pneumonia organism OS,,,,,,
H230.00,Pneumonia due to Eaton's agent,,,,,,
H231.00,Pneumonia due to mycoplasma pneumoniae,,,,,,
H232.00,Pneumonia due to pleuropneumonia like organisms,,,,,,
H233.00,Chlamydial pneumonia,,,,,,
H23z.00,Pneumonia due to specified organism NOS,,,,,,
H24..00,Pneumonia with infectious diseases EC,,,,,,
H24..11,Chest infection with infectious disease EC,,,,,,
H240.00,Pneumonia with measles,,,,,,
H241.00,Pneumonia with cytomegalic inclusion disease,,,,,,
H242.00,Pneumonia with ornithosis,,,,,,
H243.00,Pneumonia with whooping cough,,,,,,
H243.11,Pneumonia with pertussis,,,,,,
H244.00,Pneumonia with tularaemia,,,,,,
H245.00,Pneumonia with anthrax,,,,,,
H246.00,Pneumonia with aspergillosis,,,,,,
H247.00,Pneumonia with other systemic mycoses,,,,,,
H247000,Pneumonia with candidiasis,,,,,,
H247100,Pneumonia with coccidioidomycosis,,,,,,
H247200,Pneumonia with histoplasmosis,,,,,,
H247z00,Pneumonia with systemic mycosis NOS,,,,,,
H24y.00,Pneumonia with other infectious diseases EC,,,,,,
H24y000,Pneumonia with actinomycosis,,,,,,
H24y100,Pneumonia with nocardiasis,,,,,,
H24y200,Pneumonia with pneumocystis carinii,,,,,,
H24y300,Pneumonia with Q-fever,,,,,,
H24y400,Pneumonia with salmonellosis,,,,,,
H24y500,Pneumonia with toxoplasmosis,,,,,,
H24y600,Pneumonia with typhoid fever,,,,,,
H24y700,Pneumonia with varicella,,,,,,
H24yz00,Pneumonia with other infectious diseases EC NOS,,,,,,
H24z.00,Pneumonia with infectious diseases EC NOS,,,,,,
H25..00,Bronchopneumonia due to unspecified organism,,,,,,
H25..11,Chest infection - unspecified bronchopneumonia,,,,,,
H26..00,Pneumonia due to unspecified organism,,,,,,
