prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
949,49363020,Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd),Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
1005,49362020,Eumovate 0.05% cream (GlaxoSmithKline UK Ltd),Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
1433,54471020,Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd),Betamethasone valerate,250microgram/1gram,Ointment,Cutaneous
1472,54470020,Betnovate RD 0.025% cream (GlaxoSmithKline UK Ltd),Betamethasone valerate,250microgram/1gram,Cream,Cutaneous
1562,61446020,Clobetasone 0.05% cream,Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
1880,48087020,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd),Urea/Hydrocortisone,100mg/1gram + 10mg/1gram,Cream,Cutaneous
3082,58359020,Synalar 1 in 4 Dilution 0.00625% cream (Reig Jofre UK Ltd),Fluocinolone acetonide,62.5microgram/1gram,Cream,Cutaneous
3366,64157020,Betamethasone valerate 0.025% cream,Betamethasone valerate,250microgram/1gram,Cream,Cutaneous
4837,61447020,Clobetasone 0.05% ointment,Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
6801,64161020,Betamethasone valerate 0.025% ointment,Betamethasone valerate,250microgram/1gram,Ointment,Cutaneous
7370,72233020,Fludroxycortide 4micrograms/square cm tape 7.5cm,Fludroxycortide,4microgram/1square cm,Impregnated dressing,Cutaneous
7843,58361020,Synalar 1 in 4 Dilution 0.00625% ointment (Reig Jofre UK Ltd),Fluocinolone acetonide,62.5microgram/1gram,Ointment,Cutaneous
9877,60045020,Alclometasone 0.05% cream,Alclometasone dipropionate,500microgram/1gram,Cream,Cutaneous
10220,63473020,Hydrocortisone 1% / Urea 10% cream,Urea/Hydrocortisone,100mg/1gram + 10mg/1gram,Cream,Cutaneous
10982,61968020,Fluocinolone acetonide 0.00625% cream,Fluocinolone acetonide,62.5microgram/1gram,Cream,Cutaneous
11464,61969020,Fluocinolone acetonide 0.00625% ointment,Fluocinolone acetonide,62.5microgram/1gram,Ointment,Cutaneous
16862,82053020,Eumovate Eczema and Dermatitis 0.05% cream (GlaxoSmithKline Consumer Healthcare),Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
