drugcode,bnfcode1,bnfcode2,bnfcode3,genericname,formulation,Grade
90809998,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone 0.05% cream,cream,1
96965998,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone 0.05% cream,cream,1
96965997,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone 0.05% ointment,ointment,1
97604998,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone dipropionate 0.05% cream,cream,1
91928998,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone dipropionate 0.05% ointment,ointment,1
97603998,13.04.00.00,00.00.00.00,00.00.00.00,Alclometasone dipropionate 0.05% ointment,ointment,1
83552978,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% cream,cream,1
84284978,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% cream,cream,1
95965997,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% cream,cream,1
98387998,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% cream,cream,1
83551978,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment,ointment,1
84283978,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment,ointment,1
93463992,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment,ointment,1
96966992,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment,ointment,1
98387997,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment,ointment,1
39846978,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.025% ointment 50% in white soft paraffin,,2
96649998,13.04.00.00,00.00.00.00,00.00.00.00,Clioquinol with fludroxycortide cream,,1
99576997,13.04.00.00,12.01.01.00,13.04.00.00,Clioquinol with fludroxycortide ointment,ointment,1
97157992,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone /nystatin /oxtetracyline .05 % cre,ointment,1
90160998,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
90952979,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
90954979,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
90958979,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
96645998,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
99666998,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% cream,cream,1
82772978,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
83201978,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
90950979,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
90951979,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
96645997,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
99666997,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone 0.05% ointment,ointment,1
93892997,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone butyrate with oxytetracycline and nystatin ointment,,1
99024997,13.04.00.00,00.00.00.00,00.00.00.00,Clobetasone butyrate with oxytetracycline and nystatin ointment,ointment,1
96525998,13.04.00.00,13.04.00.00,00.00.00.00,Fludroxycortide 0.0125% cream,cream,1
99577998,13.04.00.00,13.04.00.00,00.00.00.00,Fludroxycortide 0.0125% cream,cream,1
96525996,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 0.0125% ointment,ointment,1
99577997,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 0.0125% ointment,ointment,1
96525997,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 0.05% cream,cream,1
99575998,13.04.00.00,13.04.00.00,00.00.00.00,Fludroxycortide 0.05% cream,cream,1
96524998,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 0.05% ointment,ointment,1
99575997,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 0.05% ointment,ointment,1
93693998,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 4micrograms/square cm tape 7.5cm,tape,1
98903998,13.04.00.00,00.00.00.00,00.00.00.00,Fludroxycortide 4micrograms/square cm tape 7.5cm,tape,1
96523998,13.04.00.00,12.01.01.00,13.04.00.00,Fludroxycortide with clioquinol cream,cream,1
96523997,13.04.00.00,12.01.01.00,13.04.00.00,Fludroxycortide with clioquinol ointment,ointment,1
99576998,13.04.00.00,12.01.01.00,13.04.00.00,Fludroxycortide with clioquinol ointment,cream,1
96519997,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.00625% cream,cream,1
97386998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.00625% cream,cream,1
96519996,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.00625% ointment,ointment,1
97386996,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.00625% ointment,ointment,1
96513998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocortolone 0.1% cream,cream,1
98799997,13.04.00.00,00.00.00.00,00.00.00.00,Fluocortolone 0.2% cream,cream,1
98799998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone 0.2% ointment,ointment,1
96512998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone 0.25% / fluocortolone hexanoate 0.25% ointment,ointment,1
98798998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone 0.5% cream,cream,1
99007998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone 0.5% ointment,ointment,1
99008998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone 0.5% ointment,ointment,1
93875992,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone acetonide oin,ointment,1
96513997,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone hexanoate 0.25% / fluocortolone pivalate 0.25% cream,cream,1
97456992,13.04.00.00,00.00.00.00,00.00.00.00,Fluocortolone hexanoate/fluocortolone pi .25 % cre,,1
97455992,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone hexanoate/fluocortolone pi oin,ointment,1
97454992,13.04.00.00,13.04.00.00,00.00.00.00,Fluocortolone/fluocortolone hexanoate oin,ointment,1
96149998,13.04.00.00,13.02.01.00,13.04.00.00,Hydrocortisone 1% / Urea 10% cream,cream,1
98226992,13.04.00.00,13.02.01.00,13.04.00.00,Hydrocortisone 1% / Urea 10% cream,cream,1
81574998,13.04.00.00,13.04.00.00,13.02.01.00,Hydrocortisone 1% / Urea 10% cream,cream,1
99971998,13.04.00.00,13.04.00.00,13.02.01.00,Hydrocortisone 1% / Urea 10% cream,cream,1
96148998,13.04.00.00,00.00.00.00,00.00.00.00,Hydrocortisone with urea and lactic acid cream,,1
96176998,13.04.00.00,00.00.00.00,00.00.00.00,Hydrocortisone with urea and sodium chloride cream,cream,1
94989998,13.04.00.00,00.00.00.00,00.00.00.00,Urea with hydrocortisone and lactic acid cream,,1
87301998,13.04.00.00,13.10.02.00,13.04.00.00,Miconazole 2% / fluprednidene 0.1% cream,cream,1
94131998,13.04.00.00,13.04.00.00,00.00.00.00,Fluclorolone acetonide 0.025%w/w cream,cream,1
87299998,13.04.00.00,13.04.00.00,13.10.02.00,Miconazole nitrate & fluprednidene acetate 2%+0.1% cream,cream,1
99024998,13.04.00.00,00.00.00.00,00.00.00.00,Generic Trimovate cream,cream,1
97307998,13.04.00.00,00.00.00.00,00.00.00.00,Generic calmurid hc cream,cream,1
96433998,13.04.00.00,00.00.00.00,00.00.00.00,Desoximetasone 0.05% oily cream,oily cream,1
96434998,13.04.00.00,00.00.00.00,00.00.00.00,Desoximetasone 0.25% oily cream,oily cream,1
96436997,13.04.00.00,00.00.00.00,00.00.00.00,Desoximetasone 0.05% oily cream,oily cream,1
96436998,13.04.00.00,00.00.00.00,00.00.00.00,Desoximetasone 0.25% oily cream,oily cream,1
97560998,13.04.00.00,00.00.00.00,00.00.00.00,Fluclorolone acetonide 0.025% ointment,ointment,1
95864992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate 10% in emulsifying oint oin,,1
96066992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate /chlorhexidine /cetomacrogol a % oin,,1
94727992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate-n lot,lotion,1
93260992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate 10% in white soft paraffin oin,,1
93437992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate 5% in wsp to 100% oin,,1
96967992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate/urea/lavender oil/cetomacrogol oin,,1
96968992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate oint /chlorhexidine /paraffin % oin,,1
95830992,13.04.00.00,00.00.00.00,00.00.00.00,Dithranol 0.1% in eumovate oin,,1
93257992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate 25% + 3% coal tar in wsp
93258992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate crm & 2% salicylic acid
