drugcode,bnfcode1,bnfcode2,bnfcode3,genericname,formulation,Grade
42582978,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% / fusidic acid 2% cream,,2
52018979,13.04.00.00,13.04.00.00,00.00.00.00,Beclometasone 0.025% ointment,ointment,1
52391979,13.04.00.00,13.04.00.00,12.01.01.00,Betamethasone valerate 0.1% / Clioquinol 3% ointment,ointment,1
53181979,13.04.00.00,12.01.01.00,13.04.00.00,Betamethasone valerate 0.1% / clioquinol 3% ointment,ointment,1
53182979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% / neomycin 0.5% cream,cream,1
54510979,13.04.00.00,13.04.00.00,00.00.00.00,Mometasone 0.1% ointment,ointment,1
54798979,13.04.00.00,13.04.00.00,00.00.00.00,Mometasone 0.1% ointment,ointment,1
54799979,13.04.00.00,00.00.00.00,00.00.00.00,Mometasone 0.1% cream,cream,1
63210979,13.04.00.00,13.04.00.00,00.00.00.00,Beclometasone 0.025% in Aqueous cream,cream,1
63947979,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% cream 75% in aqueous cream,,2
63955979,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment 5% in white soft paraffin,,2
63961979,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% cream 30% in aqueous cream,,2
82534998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.025% / Neomycin 0.5% ointment,ointment,1
82535998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.025% / Neomycin 0.5% cream,cream,1
82536998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.025% ointment,ointment,1
82537998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinolone acetonide 0.025% cream,cream,1
82541998,13.04.00.00,13.04.00.00,00.00.00.00,Fluocinonide 0.05% cream,cream,1
82542998,13.04.00.00,00.00.00.00,00.00.00.00,Fluocinonide 0.05% ointment,ointment,1
82690998,13.04.00.00,00.00.00.00,00.00.00.00,Betamethas valerate 2.25mg plaster,plaster,1
83546978,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment,,2
83828978,00.00.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment 25% in coal tar paste,,2
84032998,13.04.00.00,13.10.01.02,13.04.00.00,Betamethasone valerate 0.1% / Fusidic acid 2% cream,cream,1
85416978,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% / Clioquinol 3% cream,cream,1
85417978,13.04.00.00,13.04.00.00,12.01.01.00,Betamethasone valerate 0.1% / Clioquinol 3% ointment,ointment,1
89821979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment,ointment,1
89822979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment,ointment,1
89827979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% ointment,ointment,1
90301979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone valerate 0.1% cream,cream,1
90779979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone dipropionate 0.064% / Clotrimazole 1% cream,cream,1
90784979,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone dipropionate 0.064% / Clotrimazole 1% cream,cream,1
90910979,13.04.00.00,13.04.00.00,00.00.00.00,Mometasone 0.1% scalp lotion,lotion,1
90911979,13.04.00.00,13.04.00.00,00.00.00.00,Mometasone 0.1% scalp lotion,lotion,1
