prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
48849,41425020,Dermovate 0.05% ointment (Waymade Healthcare Plc),Clobetasol propionate,500microgram/1gram,Ointment,Cutaneous
48893,9437020,Dermovate 0.05% cream (Waymade Healthcare Plc),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
52360,11232020,Dermovate 0.05% scalp application (Waymade Healthcare Plc),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
61104,25565021,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g cream (Mawdsley-Brooks & Company Ltd)",Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Cream,Cutaneous
41388,88843020,Clobetasol propionate 25% ointment with coal tar solution 5% in white soft paraffin,Clobetasol Propionate/Coal Tar Solution,25% + 5%,Ointment,Topical
45314,88817020,Salicylic acid 5% with propylene glycol in clobetasol propionate 47.5% cream,Propylene Glycol/Clobetasol Propionate/Salicylic Acid,5% + 47.5%,Cream,Topical
777,54504020,Dermovate -nn Cream (Glaxo Laboratories Ltd),Clobetasol Propionate/Neomycin Sulphate/Nystatin,,Cream,Topical
1955,54505020,Dermovate -nn Ointment (Glaxo Laboratories Ltd),Clobetasol Propionate/Neomycin Sulphate/Nystatin,,Ointment,Topical
4940,65203020,Clobetasol propionate 0.05% with neomycin 0.5% with nystatin 100000 units/g cream,Clobetasol Propionate/Neomycin Sulphate/Nystatin,0.05% + 0.5% + 100000 Units/g,Cream,Topical
7637,61441020,Clobetasol propionate with neomycin ointment,Clobetasol Propionate/Neomycin,,Ointment,Topical
8231,61440020,Clobetasol propionate with neomycin cream,Clobetasol Propionate/Neomycin,,Cream,Topical
9244,65204020,Clobetasol propionate with neomycin with nystatin 0.05% with 0.5% with 100000 unit/g ointment,Clobetasol Propionate/Neomycin Sulphate/Nystatin,0.05% + 0.5% + 100000 Units/g,Ointment,Topical
46864,78077020,Clobetasol propionate with neomycin with nystatin 0.05% with 0.5% with 100000 unit/g Cream (Essential Generics Ltd),Clobetasol Propionate/Neomycin Sulphate/Nystatin,0.05% + 0.5% + 100000 Unit/g,Cream,Topical
47728,78079020,Clobetasol propionate with neomycin with nystatin 0.05% with 0.5% with 100000 unit/g ointment (Essential Generics Ltd),Clobetasol Propionate/Neomycin Sulphate/Nystatin,0.05% + 0.5% + 100000 Unit/g,Ointment,Topical
311,48913020,Dermovate 0.05% cream (GlaxoSmithKline UK Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
1023,48914020,Dermovate 0.05% ointment (GlaxoSmithKline UK Ltd),Clobetasol propionate,500microgram/1gram,Ointment,Cutaneous
1682,61435020,Clobetasol 0.05% cream,Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
2212,54501020,Dermovate 0.05% scalp application (GlaxoSmithKline UK Ltd),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
2983,61436020,Clobetasol 0.05% ointment,Clobetasol propionate,500microgram/1gram,Ointment,Cutaneous
3143,52901020,Nerisone Forte 0.3% oily cream (Meadow Laboratories Ltd),Diflucortolone valerate,3mg/1gram,Cream,Cutaneous
5876,61437020,Clobetasol 0.05% scalp application,Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
6096,62506020,Diflucortolone 0.3% oily cream,Diflucortolone valerate,3mg/1gram,Cream,Cutaneous
12626,52902020,Nerisone Forte 0.3% ointment (Meadow Laboratories Ltd),Diflucortolone valerate,3mg/1gram,Ointment,Cutaneous
12727,62511020,Diflucortolone 0.3% ointment,Diflucortolone valerate,3mg/1gram,Ointment,Cutaneous
13286,90684020,Clobetasol 500micrograms/g foam,Clobetasol propionate,500microgram/1gram,Foam,Cutaneous
21580,90686020,Clarelux 500micrograms/g foam (Pierre Fabre Dermo-Cosmetique),Clobetasol propionate,500microgram/1gram,Foam,Cutaneous
36014,93706020,Etrivex 500micrograms/g shampoo (Galderma (UK) Ltd),Clobetasol propionate,500microgram/1gram,Shampoo,Cutaneous
36226,93704020,Clobetasol 500micrograms/g shampoo,Clobetasol propionate,500microgram/1gram,Shampoo,Cutaneous
49304,9442020,Dermovate 0.05% cream (Mawdsley-Brooks & Company Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
49780,11234020,Dermovate 0.05% scalp application (Sigma Pharmaceuticals Plc),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
50610,9444020,Dermovate 0.05% cream (Necessity Supplies Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
50623,9440020,Dermovate 0.05% cream (Sigma Pharmaceuticals Plc),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
50819,12110020,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g cream",Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Cream,Cutaneous
51862,11235020,Dermovate 0.05% scalp application (Lexon (UK) Ltd),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
53410,9439020,Dermovate 0.05% cream (DE Pharmaceuticals),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
53762,45516020,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g cream (A A H Pharmaceuticals Ltd)",Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Cream,Cutaneous
53839,45517020,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g ointment (A A H Pharmaceuticals Ltd)",Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Ointment,Cutaneous
54142,45205020,ClobaDerm 0.05% cream (Auden McKenzie (Pharma Division) Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
54818,45207020,ClobaDerm 0.05% ointment (Auden McKenzie (Pharma Division) Ltd),Clobetasol propionate,500microgram/1gram,Ointment,Cutaneous
60921,12119020,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g ointment",Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Ointment,Cutaneous
65214,9441020,Dermovate 0.05% cream (Lexon (UK) Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
70487,21441021,Clobetasol 0.05% cream (Phoenix Healthcare Distribution Ltd),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous
71914,11233020,Dermovate 0.05% scalp application (DE Pharmaceuticals),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous
58785,36036020,Coal tar solution 5% in Clobetasol 0.05% ointment,Clobetasol propionate/Coal tar solution,475microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
40583,97191020,Dermovate-NN cream (Chemidex Pharma Ltd),Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Cream,Cutaneous
40698,97193020,Dermovate-NN ointment (Chemidex Pharma Ltd),Clobetasol propionate/Neomycin sulfate/Nystatin,500microgram/1gram + 5mg/1gram + 100000unit/1gram,Ointment,Cutaneous
66721,61267021,Salicylic acid 5% / Propylene glycol 47.5% in Clobetasol 0.05% cream,Propylene glycol/Clobetasol propionate/Salicylic acid,475mg/1gram + 237.5microgram/1gram + 50mg/1gram,Cream,Cutaneous
27530,!1773101,DERMOVATE,,,,
21474,6554007,DERMOVATE 25% DITHRANOL 0.01% IN WSP OIN,,,,
23216,!1773103,DERMOVATE SCALP APPLICATION,,,,
33000,4170007,DIMETHICONE 5% IN DERMOVATE OIN,,,,
