DrugCode,Chapter,Description
89025998,05.01.00.00,Linezolid 100mg/5ml oral suspension
91987998,05.01.00.00,Linezolid 100mg/5ml oral suspension
95092997,05.01.00.00,Linezolid 600mg/300ml infusion bags
95092998,05.01.00.00,Linezolid 600mg tablets
95147997,05.01.00.00,Linezolid 600mg/300ml infusion bags
95147998,05.01.00.00,Linezolid 600mg tablets
95096992,05.01.01.00,Havapen 350 mg tab
97871992,05.01.01.00,Penamecillin 350 mg tab
52233979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
52234979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
52597979,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
55975979,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
55976979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
61457979,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
78653979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
78654979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
82059998,05.01.01.01,Benzylpenicillin 1.2g powder for solution for injection vials
82060998,05.01.01.01,Benzylpenicillin 600mg powder for solution for injection vials
86912998,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
86913998,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
86914998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
86915998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
90856997,05.01.01.01,Benzylpenicillin 1.2g powder for solution for injection vials
90856998,05.01.01.01,Benzylpenicllin 6g/vial injection
90862997,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
90862998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
90863997,05.01.01.01,Phenoxymethylpenicillin 62.5mg/5ml oral solution
90863998,05.01.01.01,Phenoxymethylpenicillin 250mg capsule
90864997,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
90864998,05.01.01.01,Phenoxymethylpenicillin 125mg tablet
91166998,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
91260996,05.01.01.01,Benzylpeniciilin 250mg/5ml oral solution
91260997,05.01.01.01,Benzylpenicillin 125mg/5ml oral solution
91260998,05.01.01.01,Benzylpeniciilin 250mg tablets
92990990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
92991990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
93150998,05.01.01.01,Procaine benzylpenicillin injection
93588990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
93629992,05.01.01.01,Benethamine penicillin g /pen.g sodium/ 475 mg inj
93737992,05.01.01.01,benzylpenicillin sodium  3g inj
93786990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
93890990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
94054990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94055990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
94113990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
94126992,05.01.01.01,Crystapen v 250 mg tab
94128992,05.01.01.01,benzylpenicillin sodium  6g inj
94129992,05.01.01.01,Benzylpenicillin - penicillin g 300mg injection
94157996,05.01.01.01,Benzylpenicillin 3g/vial injection
94157997,05.01.01.01,Benzylpenicillin 600mg/50ml infusion bags
94157998,05.01.01.01,Benzylpenicillin 300mg/vial injection
94189990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94190990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
94233990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94234990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
94325992,05.01.01.01,Penicillin g 250 mg syr
94413990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
94469979,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94471979,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94476979,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
94484979,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
94532992,05.01.01.01,Penicillin g 125 mg syr
94533992,05.01.01.01,Penicillin v 500 mg tab
94744992,05.01.01.01,Broxil 250 mg tab
94762997,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94762998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
94845996,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
94845997,05.01.01.01,Penicillin v 62.5mg/5ml syrup
94845998,05.01.01.01,Penicillin v 250mg capsule
94877992,05.01.01.01,Crystapen v 125 mg syr
94926990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
94936992,05.01.01.01,Phenoxymethylpenicillin 125mg tablets
95261990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
95262990,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
95263990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
95293990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
95431992,05.01.01.01,Phenoxymethylpenicillin 300 mg tab
95507992,05.01.01.01,Procaine penicillin 3 gm inj
95529992,05.01.01.01,Penicillin g 250 mg tab
95587998,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
95588997,05.01.01.01,Phenoxymethylpenicillin 62.5mg/5ml syrup
95588998,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
95594996,05.01.01.01,Penicillin g 3g/vial injection
95594997,05.01.01.01,Benzylpenicillin 600mg/50ml infusion bags
95594998,05.01.01.01,Penicillin g 300mg/vial injection
95719992,05.01.01.01,V-cil-k 500 mg pul
95976996,05.01.01.01,Benzathine penicillin 229mg/ml injection
95976997,05.01.01.01,Benzathine penicillin 115mg/ml drops
96391992,05.01.01.01,Phenoxymethylpenicillin 150 mg syr
96467992,05.01.01.01,Stabillin v-k 125 mg syr
